1	Purchase
2	Product View
10	Cart Open
11	Checkout
12	Cart Add
13	Cart Remove
14	Cart View
20	Campaign View
100	Instance of eVar1
101	Instance of eVar2
102	Instance of eVar3
103	Instance of eVar4
104	Instance of eVar5
105	Instance of eVar6
106	Instance of eVar7
107	Instance of eVar8
108	Instance of eVar9
109	Instance of eVar10
110	Instance of eVar11
111	Instance of eVar12
112	Instance of eVar13
113	Instance of eVar14
114	Instance of eVar15
115	Instance of eVar16
116	Instance of eVar17
117	Instance of eVar18
118	Instance of eVar19
119	Instance of eVar20
120	Instance of eVar21
121	Instance of eVar22
122	Instance of eVar23
123	Instance of eVar24
124	Instance of eVar25
125	Instance of eVar26
126	Instance of eVar27
127	Instance of eVar28
128	Instance of eVar29
129	Instance of eVar30
130	Instance of eVar31
131	Instance of eVar32
132	Instance of eVar33
133	Instance of eVar34
134	Instance of eVar35
135	Instance of eVar36
136	Instance of eVar37
137	Instance of eVar38
138	Instance of eVar39
139	Instance of eVar40
140	Instance of eVar41
141	Instance of eVar42
142	Instance of eVar43
143	Instance of eVar44
144	Instance of eVar45
145	Instance of eVar46
146	Instance of eVar47
147	Instance of eVar48
148	Instance of eVar49
149	Instance of eVar50
150	Instance of eVar51
151	Instance of eVar52
152	Instance of eVar53
153	Instance of eVar54
154	Instance of eVar55
155	Instance of eVar56
156	Instance of eVar57
157	Instance of eVar58
158	Instance of eVar59
159	Instance of eVar60
160	Instance of eVar61
161	Instance of eVar62
162	Instance of eVar63
163	Instance of eVar64
164	Instance of eVar65
165	Instance of eVar66
166	Instance of eVar67
167	Instance of eVar68
168	Instance of eVar69
169	Instance of eVar70
170	Instance of eVar71
171	Instance of eVar72
172	Instance of eVar73
173	Instance of eVar74
174	Instance of eVar75
200	Custom Event 1
201	Custom Event 2
202	Custom Event 3
203	Custom Event 4
204	Custom Event 5
205	Custom Event 6
206	Custom Event 7
207	Custom Event 8
208	Custom Event 9
209	Custom Event 10
210	Custom Event 11
211	Custom Event 12
212	Custom Event 13
213	Custom Event 14
214	Custom Event 15
215	Custom Event 16
216	Custom Event 17
217	Custom Event 18
218	Custom Event 19
219	Custom Event 20
220	Custom Event 21
221	Custom Event 22
222	Custom Event 23
223	Custom Event 24
224	Custom Event 25
225	Custom Event 26
226	Custom Event 27
227	Custom Event 28
228	Custom Event 29
229	Custom Event 30
230	Custom Event 31
231	Custom Event 32
232	Custom Event 33
233	Custom Event 34
234	Custom Event 35
235	Custom Event 36
236	Custom Event 37
237	Custom Event 38
238	Custom Event 39
239	Custom Event 40
240	Custom Event 41
241	Custom Event 42
242	Custom Event 43
243	Custom Event 44
244	Custom Event 45
245	Custom Event 46
246	Custom Event 47
247	Custom Event 48
248	Custom Event 49
249	Custom Event 50
250	Custom Event 51
251	Custom Event 52
252	Custom Event 53
253	Custom Event 54
254	Custom Event 55
255	Custom Event 56
256	Custom Event 57
257	Custom Event 58
258	Custom Event 59
259	Custom Event 60
260	Custom Event 61
261	Custom Event 62
262	Custom Event 63
263	Custom Event 64
264	Custom Event 65
265	Custom Event 66
266	Custom Event 67
267	Custom Event 68
268	Custom Event 69
269	Custom Event 70
270	Custom Event 71
271	Custom Event 72
272	Custom Event 73
273	Custom Event 74
274	Custom Event 75
275	Custom Event 76
276	Custom Event 77
277	Custom Event 78
278	Custom Event 79
279	Custom Event 80
280	Custom Event 81
281	Custom Event 82
282	Custom Event 83
283	Custom Event 84
284	Custom Event 85
285	Custom Event 86
286	Custom Event 87
287	Custom Event 88
288	Custom Event 89
289	Custom Event 90
290	Custom Event 91
291	Custom Event 92
292	Custom Event 93
293	Custom Event 94
294	Custom Event 95
295	Custom Event 96
296	Custom Event 97
297	Custom Event 98
298	Custom Event 99
299	Custom Event 100
