897	hbr
898	Japanese (Japan)
899	reuve
900	iee-e
901	Sichuan Yi (Ireland)
902	Norwegian (NY)
903	nix
904	(ie-e
905	green
906	svens
908	''ie-
909	Gujarati
910	Norwegian BokmÃ¥l
911	disc
912	espan
914	Fucke
915	Russian (Russia)
916	Malte
917	weste
918	Centr
919	Indonesian (Sudan)
920	DB
921	GEORG
924	shimo
925	hebro
926	abcde
927	tamil
928	corTh
929	Indonesian (Estonia)
930	Suahi
931	i.e.
932	f3
933	English (U)
934	(en-u
935	webta
937	nethe
938	Bulga
939	Dansk
940	ei (Estonia)
941	French (Belgium)
942	type
943	ingle
944	John'
947	English (Colombia)
948	Dutch (Belgium)
949	Oriya
950	Old English
951	Melay
952	ARABO
953	sinha
954	msie
955	ingil
957	Perse
958	S:12:
959	x-kok
960	11
961	devna
962	chain
963	Spanish (Argentina)
964	Khmer
965	at
966	Iie-e
967	domac
968	1e-ee
969	Norwegian Nynorsk (Norway)
970	C
971	webdu
972	type:
974	B.
975	Arabic
976	Norwegian BokmÃ¥l (Norway)
977	Amharic
978	French (Switzerland)
979	<<ie-
980	oussa
981	{ie-e
982	ieeee
983	suomi
984	IE:-E
985	Sanskrit
986	Norwegian (Bermuda)
987	Czech (Czech Republic)
988	??
990	Swedish (Sweden)
992	valen
993	(en-g
994	Mongo
996	magya
998	<ie-e
999	dfg
1001	Walloon
1002	ic (Estonia)
1004	eeeee
1005	zz (Unknown or Invalid Region)
1006	nabil
1007	Danish (Denmark)
1009	sepeh
1010	IE:EE
1011	.*ttf
1013	Inaim
1014	web
1015	sp
1016	ie:ie
1017	Kitty
1018	jmk
1019	Textu
1020	Catalan (Spain)
1021	pt?
1022	ISO-V
1023	azar
1024	myanm
1025	TCVN
1026	créol
1027	root
1028	jutt
1030	saura
1032	(com.
1033	afgha
1034	Syriac
1035	Mongolian
1036	VNfon
1037	[eb-G
1038	XXXXX
1039	x-rca
1040	cust
1041	Interlingue (55)
1042	Thaii
1043	Avestan (Ireland)
1044	irans
1045	Marti
1046	fraça
1047	Latin
1048	Spanish (Estonia)
1049	ir (Estonia)
1050	Main
1051	English (EN)
1052	3725
1054	Finni
1055	COREA
1057	PHILP
1058	Sundanese
1059	mac-l
1060	English (Georgia)
1061	Swahi
1062	Maced
1063	saudi
1064	defau
1065	Breton
1066	twchi
1068	English
1069	es@tr
1070	Tieng
1071	Spanish (Peru)
1072	Ewe (Australia)
1073	ThaiM
1074	bk_BK
1075	Oriya
1076	VNI-t
1077	Vietnamese (Vietnam)
1078	en/us
1080	abgfy
1081	teca
1082	je (Estonia)
1084	Artificial Language
1085	Italian (Italy)
