1	Inside Your Site	internal
2	Other Web Sites	external
3	Search Engines	search_engine
4	Hard Drive	hard_drive
5	USENET (newsgroups)	usenet
6	Typed/Bookmarked	bookmarked
7	Email	email
8	No JavaScript	nojs
9	Social Networks	social_network
